"Query Name","Hit Contig ID","Hit length","Nb. HSPs","Score ","E Value ","Align. length","Identity","Query Start Position","Query End Position","Query frame","Query Coverage","Hit Start Position","Hit End Position","Hit frame","Hit coverage"
"EarlyHisEnd Positionne","Utg201028_LN:i:110307_RC:i:7_XO:i:0_pilon",110689,1,85,1E-035,85,100%,1668,1752,1,1.3%,55272,55188,-1,0.1%
"EarlyHisEnd Positionne","Utg196140_LN:i:1732146_RC:i:148_XO:i:0_pilon",1736452,1,85,1E-035,98,95.9%,1756,1851,1,1.4%,1511879,1511976,1,0%
"EarlyHisEnd Positionne","Utg200658_LN:i:433192_RC:i:29_XO:i:0_pilon",443871,1,83,1E-034,89,97.8%,1609,1697,1,1.3%,243945,244033,1,0%
"EarlyHisEnd Positionne","Utg196480_LN:i:1411960_RC:i:95_XO:i:0_pilon",1430679,1,83,1E-034,89,97.8%,4083,4171,1,1.3%,257907,257995,1,0%
"EarlyHisEnd Positionne","Utg196634_LN:i:959699_RC:i:60_XO:i:0_pilon",983715,1,81,2E-033,81,100%,1767,1847,1,1.2%,887254,887174,-1,0%
"EarlyHisEnd Positionne","Utg200904_LN:i:270331_RC:i:24_XO:i:0_pilon",275441,1,76,1E-030,82,97.6%,1671,1752,1,1.2%,104921,104840,-1,0%
"EarlyHisEnd Positionne","Utg201318_LN:i:263648_RC:i:14_XO:i:0_pilon",277810,1,74,1E-029,80,97.5%,3525,3604,1,1.2%,225161,225240,1,0%
"EarlyHisEnd Positionne","Utg199796_LN:i:630711_RC:i:43_XO:i:0_pilon",636788,1,74,1E-029,74,100%,2994,3067,1,1.1%,468400,468327,-1,0%
"EarlyHisEnd Positionne","Utg199980_LN:i:287071_RC:i:19_XO:i:0_pilon",290302,1,72,2E-028,72,100%,1617,1688,1,1.1%,269721,269650,-1,0%
"EarlyHisEnd Positionne","Utg198850_LN:i:181601_RC:i:13_XO:i:0_pilon",178767,1,71,7E-028,74,98.6%,3550,3623,1,1.1%,23346,23419,1,0%
"EarlyHisEnd Positionne","Utg201522_LN:i:75916_RC:i:15_XO:i:0_pilon",74018,1,70,2E-027,73,98.6%,3988,4060,1,1.1%,13712,13784,1,0.1%
"EarlyHisEnd Positionne","Utg198522_LN:i:384073_RC:i:30_XO:i:0_pilon",389723,1,70,2E-027,70,100%,1613,1682,1,1%,363220,363289,1,0%
"EarlyHisEnd Positionne","Utg197058_LN:i:428207_RC:i:31_XO:i:0_pilon",435437,1,70,2E-027,76,97.4%,3990,4065,1,1.1%,266520,266445,-1,0%
"EarlyHisEnd Positionne","Utg197580_LN:i:642961_RC:i:44_XO:i:0_pilon",658376,1,69,8E-027,93,91.4%,4190,4282,1,1.4%,149149,149057,-1,0%
"EarlyHisEnd Positionne","Utg196508_LN:i:1445558_RC:i:125_XO:i:0_pilon",1451033,1,69,8E-027,69,100%,3524,3592,1,1%,336240,336172,-1,0%
"EarlyHisEnd Positionne","Utg197904_LN:i:413758_RC:i:35_XO:i:0_pilon",425672,1,68,3E-026,84,94%,1664,1747,1,1.3%,218486,218568,1,0%
"EarlyHisEnd Positionne","Utg197066_LN:i:464311_RC:i:33_XO:i:0_pilon",473339,1,68,3E-026,104,88.5%,1649,1752,1,1.5%,179525,179628,1,0%
"EarlyHisEnd Positionne","Utg197546_LN:i:591083_RC:i:43_XO:i:0_pilon",593041,1,67,1E-025,70,98.6%,3988,4057,1,1%,5934,6003,1,0%
"EarlyHisEnd Positionne","Utg197088_LN:i:304812_RC:i:38_XO:i:0_pilon",323815,1,67,1E-025,124,84.7%,2831,2954,1,1.8%,292598,292475,-1,0%
"EarlyHisEnd Positionne","Utg199600_LN:i:163376_RC:i:25_XO:i:0_pilon",166829,1,66,4E-025,87,92%,3131,3217,1,1.3%,14046,14132,1,0.1%
"EarlyHisEnd Positionne","Utg198366_LN:i:539829_RC:i:46_XO:i:0_pilon",541075,1,66,4E-025,69,98.6%,4304,4372,1,1%,300152,300220,1,0%
"EarlyHisEnd Positionne","Utg197524_LN:i:1040477_RC:i:94_XO:i:0_pilon",1056529,1,65,1E-024,74,95.9%,5159,5232,1,1.1%,594145,594218,1,0%
